,image_id,question,answer
187163,183844,How many whiskers does this animal have?,6
145821,172376,How many elephant is in the picture?,3
351991,233780,What color is the flower on the bear?,pink
14496,528452,Are there people in the boat?,no
421807,523166,What color are the cabinets?,brown
75017,152286,What sport is being played in this photo?,baseball
87247,155705,Which hand does the tennis player write with?,right
75020,152286,With which hand did the player throw the ball?,right
277602,76856,Are the lights turned off?,no
23485,137767,What is the woman holding in her hand?,frisbee
271643,209176,What side of the road do the cars drive on?,right
132692,561818,Are the giraffes sleeping?,no
243954,216176,What is this room?,kitchen
204853,188949,What is the person playing with?,frisbee
46165,406275,Which way is the bird looking?,left
112384,31822,What kind of ball is the child holding?,baseball
377596,503703,What color is the helmet?,black
344428,231401,What sport are they playing?,tennis
443125,130880,What color are the flowers?,pink
31225,139958,What type of food is shown?,pizza
360637,367461,What color is the motorcycle?,orange
317899,485291,Which pizza has more toppings?,right
74072,414108,What kind of fruit is this?,orange
359868,105055,What color are the skateboard wheels?,black
112667,162963,Which hand is the mother using to touch the baby?,left
41498,404964,Would you consider the cyclist in yellow an individual?,yes
33896,402844,What color is his coat?,gray
109604,555282,What game are they playing?,baseball
182427,313655,How many panels are in the door?,6
73889,265622,Are there plates on the table?,no
11701,541313,What color is the back wall?,pink
183883,51898,How many panes of glass are in the picture?,5
414781,122216,What room is this?,kitchen
356185,497167,Which way is the TV facing?,left
138028,170107,How many plates are visible?,3
312086,90346,What is the color of the kite?,pink
232235,459234,What color is the man's hat?,black
441189,580454,What color is the purse?,pink
311100,352188,What color are the lines on the road?,yellow
417312,152048,What color are the flowers?,pink
441132,375321,What sport is being played?,tennis
341732,99466,How many slices of pizza are there?,6
72418,151570,How many motorcycles are there?,5
329460,168858,What room of the house is this?,kitchen
24188,328833,What kind of room is this?,kitchen
158413,306877,What color is the engine?,orange
341191,147623,What color are the lenses of his goggles?,black
269652,208557,What type of shoes are on the floor?,tennis
11738,131638,What kind of floor is in the photo?,wood
347203,494466,Is the one way sign pointing left or right?,left
168792,47652,How many hands in the picture?,2
342520,540988,What is the bench made out of?,wood
214696,454000,What platform number is this?,6
116914,22924,What room is this?,kitchen
409480,251578,What main food are they eating?,pizza
29482,139494,How many candles are on the food?,6
268602,470321,What sport is the girl playing?,baseball
13903,266108,Is there anything in the road that really shouldn't be?,no
233754,307730,What is the color of the man's cap?,black
178833,50535,How many people can be seen in the mirror?,2
398656,297465,How many of the cattle are not white?,6
70021,150902,What color is the cow?,gray
143428,40606,What color is the man's hat?,yellow
200720,449914,Which hand wears a baseball glove?,right
283080,474784,What color is the urn?,gray
300236,86861,What is the meat dish for this meal?,pizza
278497,211172,What sport is this?,baseball
61540,2896,What color is the bucket?,pink
498,138,How many pots are hanging under the shelf?,2
434119,259243,What is the deck made of?,wood
109975,424307,Does the refrigerator open to the left or the right?,right
391146,377019,What video game is on the television?,tennis
63291,542181,What color is the sky?,gray
285732,303897,What type of ball is in the picture?,baseball
216471,454611,What room is behind the couch?,kitchen
128209,560489,What color is the sink?,black
23885,531125,What color is the plane?,black
141610,40108,How many people are in the water?,3
76849,546018,What is the color of the table?,yellow
223568,456737,Where is the handle on the large appliance?,left
59844,147983,How many glazed doughnuts are there?,2
341384,230436,What color scarf is the woman wearing?,pink
384177,112604,What activity is being done in the background?,tennis
46389,537408,Where are the stairs?,left
223330,456666,What color does this mouse look like?,black
20624,132057,What are the main colors in the picture?,orange
241551,330919,How many people appear in this scene?,2
352372,233878,What color is the macaroni?,yellow
149783,422117,What color is the track on the wood table?,brown
410874,252038,Which child has a missing front tooth?,left
425069,387561,How many humans are shown?,2
285531,213437,What color is the animal?,brown
428665,152147,Is it cold?,yes
77906,153074,What event has likely brought these people to this place?,frisbee
58196,147505,How many yellow stripes are there?,6
300026,86797,In what room is the refrigerator stored?,kitchen
19904,5701,What is the man getting ready to throw?,frisbee
64980,18389,What color is the bench near the shrubs?,gray
219205,324280,What color is the large bag?,brown
361545,498795,What kind of field is this man flying a kite on?,baseball
249189,71138,Which hand does the man have the cell phone in?,right
189196,14870,What sport is this?,tennis
17402,267111,How many people are in this scene?,5
368715,500991,Is there coffee in the flowered cup?,no
195813,186342,What color are the person's socks?,orange
288011,476380,Is the correct silverware in the picture needed to eat the pizza?,yes
363386,237203,What game is the woman playing?,tennis
100888,529036,What sport is this?,tennis
237266,198607,How many chair legs are visible?,3
220843,193682,What game is this lady playing?,tennis
64715,280454,What color is the ground?,gray
233378,459563,What color is the bird's neck?,orange
27206,7782,What sport are they playing?,frisbee
34677,140940,What are the men learning?,baseball
113598,163225,What color is the man in the front short's?,black
208230,321059,How many zebras are there?,6
71344,568060,Are the giraffes looking to the left or right?,right
340518,492299,What color is the container?,pink
433353,458228,Does the food look done?,no
428619,519664,Is this toilet functional?,yes
431579,127353,Which side of the tower is darker?,right
242782,462395,What kind of room is this?,kitchen
44226,143540,Which side of the kid's body is facing forwards?,left
258944,297279,Do you a charger in the picture?,yes
209941,190495,What side do you see plants?,left
294683,347306,What sport is being played?,baseball
137105,431997,What color is the nearest storage bin?,pink
277855,473144,What sport is this?,tennis
430261,126973,What color is the train?,orange
254100,465058,What game are they playing?,frisbee
55248,146646,Which side of the road is the vehicle traveling on?,left
298854,217494,What food is this?,orange
268871,77195,What food are they eating?,pizza
141770,564448,What color is the hat?,yellow
230137,327530,Is there a garbage can?,yes
83056,416697,Is the boy using his left or right hand to eat?,right
385185,86687,What color is the cat's tail?,orange
308559,351431,Which side of the picture is the lighthouse?,left
237222,198596,What sport is this team playing?,baseball
56864,12923,What is the wall made of behind the sign?,wood
397931,247971,What color is this plane?,yellow
413168,544568,What fruit is in the background?,orange
269068,208348,What game is the man playing?,tennis
166418,309144,Which game is being played?,baseball
28299,270248,What color is the catchers jersey?,orange
344594,300721,What color is the man's suit?,black
370042,83566,What is the color of the back of the bird?,orange
436350,390969,What color are the closest pair of shoes?,orange
251932,72030,How many people are inside the planes?,5
214442,60720,What color are the men's shorts?,black
142345,40304,How many computers?,6
228527,148825,How many cats are in the photo?,2
117535,33240,Do you think the boy will catch the frisbee?,yes
224036,469363,What court is this?,tennis
144888,565330,What color is fire hydrant?,yellow
97255,92710,What color is the man with the colorful hats bike?,black
18906,267531,What type of fruit is on the tree?,orange
233290,469806,What sport is the boy playing?,baseball
143583,49363,What sport is this?,tennis
405947,512561,What hand is the person holding on the top?,right
20841,137042,What is in motion?,frisbee
116055,32868,What color hair does the lady sitting down have?,black
346170,494138,What is the boy holding?,frisbee
218097,61838,What color is the shirt the little boy is wearing?,gray
36223,176477,What sport is this?,tennis
371176,501742,What color is the walls?,gray
386228,244349,What color are the trees?,brown
227104,457737,What room is this?,kitchen
94215,502805,What are the children throwing?,frisbee
207848,452022,Which knee has a white band?,right
82970,23451,How many plates are in this photo?,2
62712,410908,What color is the banana?,yellow
78590,22164,How many palm trees are in the picture?,3
204407,57731,Does the building have a dome?,no
36315,569697,How many planes?,2
427130,126021,How many giraffes are in the image?,5
48377,13671,How many fence posts are there?,6
359980,367242,What room is this in the house?,kitchen
207464,577759,Is the man wearing a leather jacket?,no
419671,254797,What sport is indicated by the photo?,baseball
134255,562247,What is in the oven?,pizza
47666,559107,Which color is 4 to the right of the sky-colored one?,yellow
229294,207467,Which girl is taking the photo?,left
89765,418569,What in the sky?,frisbee
73277,282883,How many men are in this picture?,3
76532,480818,The walls of this restaurant are made from what?,wood
208487,452198,How many windows are on the building?,2
406484,250599,What are the cabinets made of?,wood
196021,351004,What type of court is this?,tennis
23564,416181,What color is the fence?,black
289436,494617,What sport is she playing?,tennis
291779,84284,What are the picture frames made of?,wood
120663,296281,How many slices of pizza are on the plate?,6
254094,465058,What is the man throwing?,frisbee
369382,105374,Is the man wearing blue jeans?,no
379877,242290,Are the bear crossing the street?,no
171985,441794,What does the man have in his hand?,frisbee
99383,552354,What are the kids eating?,pizza
54870,264723,What color is the grass?,brown
15201,528654,What is the floor made of?,wood
189967,53591,What color is the elephant's trunk?,gray
97019,27394,Where is the tent?,right
291322,84157,What color skirt and underpants is she wearing?,yellow
116014,180239,What is the bench made of?,wood
162235,176923,What is the main color seen?,orange
274433,209920,What color is the tile on the wall?,pink
204269,188757,What is in the man's hand?,baseball
157034,437597,What color is the writing on the stop sign?,black
24820,269263,What is he throwing?,frisbee
405974,456799,What room is this?,kitchen
437542,260276,What color is the child's skirt?,pink
8900,2585,What is this room?,kitchen
419319,173520,What sport is being played?,tennis
300428,86916,What color are the flowers?,pink
114603,556748,What color are the likes on the street?,yellow
55372,408829,What color are the tiles on the wall?,gray
385358,113026,What color is the player's shirt?,gray
164990,51453,What color is the rim of the plate?,yellow
348015,232543,What color is the cupcake?,orange
11405,265449,What game are they playing?,tennis
394608,172233,What color is the kite?,orange
441715,261511,What color are the bowls?,brown
241609,68801,How many sun umbrellas are there?,5
396917,281567,What color are the sheets?,yellow
263822,337748,What color is the accent stripe?,gray
205557,320238,How many branches can you see on the tree?,5
28862,532565,What is the girl holding?,pizza
433908,259186,What sport is this person playing?,tennis
138099,175881,What color is the rug?,brown
134321,169054,What game is he playing?,frisbee
150401,435716,How many people are sitting at the table?,6
207525,189767,What room is this?,kitchen
383243,505485,What kind of room is this?,kitchen
320642,369086,What color are the walls?,gray
101467,454864,Could you get a good sun tan in this sort of weather?,yes
145964,303485,What color is the man's hair?,black
249685,71322,Which building in this picture has the darkest windows?,right
401397,511208,How many bowls are on the table?,3
296118,293864,What color stripe is on the road?,yellow
415073,56680,What color is the gravel around the railroad tracks?,gray
64358,461786,What color is the skier's jacket?,yellow
376083,503235,What color is this surfboard?,yellow
349894,364173,How many cows are eating?,3
49220,407135,What color is the wagon?,yellow
439553,523010,How many vehicles?,5
51600,407806,Which girl has red hair?,right
127304,560282,What is this person holding?,pizza
77664,218956,What material is the floor made out of?,wood
255508,73094,What are the cabinets made of?,wood
124375,552001,What is the man holding?,baseball
20115,398962,What kind of floor is in this house?,wood
110307,424408,What room is this?,kitchen
222939,63334,What are they playing?,baseball
99256,167783,How many boats are there?,6
304417,88068,What color are the chairs?,yellow
397326,509901,Where is the chrome on the table?,left
44454,405752,What room is this?,kitchen
192133,578466,What color is the woman's sweater?,black
72598,282692,What is the boy eating?,orange
279404,211444,Is the child in the center left or right handed?,right
286672,82721,What color is the wastebasket?,yellow
428903,126521,What number is on the shirt?,2
288896,83407,How many vehicles are in the background?,5
167413,47290,What type of food is this?,pizza
364515,323581,What color is the woman's shirt?,pink
335623,359687,What color is the tire on the side of the first boat?,black
14166,4038,What is the bench made of?,wood
96975,158451,What sport is being played?,baseball
273593,471839,What's for lunch?,pizza
289040,214524,How many people are standing?,5
285386,475523,Does the doors open to left or right?,left
254630,292510,What sport is being played?,baseball
393103,508678,Which way is the boat turning?,left
247779,201770,What room are they in?,kitchen
430231,389107,Is there a cell phone on this picture?,yes
51168,310364,Which hand has part of the meter?,left
301189,495122,What room is this?,kitchen
70366,282067,How many colors of the rainbow are represented by the bottle tops at the front of the scene?,2
417410,254134,What color are the sticky notes?,pink
218159,61842,What color are her shoes?,gray
272012,209287,What is he getting?,pizza
8149,526682,What color shirt does the man have on?,black
122995,428033,Is there water?,no
